(40.78866, -76.87553)
(40.79433, -76.87981)
(40.79805, -76.87970)
(40.79951, -76.88011)
(40.79959, -76.87997)
(40.79890, -76.87655)
(40.79983, -76.87644)
(40.80591, -76.87504)
(40.80638, -76.87489)
(40.80814, -76.87486)
(40.80842, -76.87359)
(40.80972, -76.86960)
(40.81030, -76.86933)
(40.81151, -76.87013)
(40.81182, -76.86684)
(40.81189, -76.86576)
(40.81255, -76.86127)
(40.81219, -76.85931)
(40.81188, -76.85801)
(40.81170, -76.85750)
(40.81057, -76.85643)
(40.80880, -76.84972)
(40.79466, -76.85261)
(40.78700, -76.85734)
(40.78837, -76.86353)
(40.78950, -76.86652)
(40.78892, -76.87398)
(40.78866, -76.87553)
